{'loss': 8.53182601928711, 'srcnode': 198259, 'dstnode': 100, 'srcmsg': "{'subject': 'sysctl'}", 'dstmsg': "{'file': '/sbin/sysctl'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580111145865}
{'loss': 8.53182601928711, 'srcnode': 198260, 'dstnode': 102, 'srcmsg': "{'subject': 'unlink'}", 'dstmsg': "{'file': '/bin/unlink'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580121145778}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580131145650}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580141143153}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580151148456}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580161144929}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580171147142}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580181147495}
{'loss': 8.53182601928711, 'srcnode': 198261, 'dstnode': 104, 'srcmsg': "{'subject': 'mv'}", 'dstmsg': "{'file': '/bin/mv'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580191146447}
{'loss': 8.53182601928711, 'srcnode': 198262, 'dstnode': 105, 'srcmsg': "{'subject': 'dd'}", 'dstmsg': "{'file': '/bin/dd'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805580201157900}
{'loss': 8.53182601928711, 'srcnode': 198262, 'dstnode': 103, 'srcmsg': "{'subject': 'dd'}", 'dstmsg': "{'file': '/var/db/entropy/saved-entropy.8'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805580211148893}
{'loss': 8.53182601928711, 'srcnode': 198262, 'dstnode': 23, 'srcmsg': "{'subject': 'dd'}", 'dstmsg': "{'file': '/dev/null'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805580211148893}
{'loss': 8.53182601928711, 'srcnode': 198262, 'dstnode': 23, 'srcmsg': "{'subject': 'dd'}", 'dstmsg': "{'file': '/dev/null'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805580211148893}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805607651144796}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805607711146703}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805607711146703}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805607711146703}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805608731142939}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805608761146087}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805608761146087}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805608761146087}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805608761146087}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805609791145566}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805609791145566}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805609841144290}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805609841144290}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805610871142978}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522805610881147221}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522805610881147221}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522805611061145371}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522805611061145371}
