{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209938, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:48385'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700797590788}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 50557, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'file': '/usr/local/libexec/imapd'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964700797590788}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 198373, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522964700837591196}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198312, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'imapd'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522964700837591196}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700837591196}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700847587651}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 198373, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522964700957600331}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198312, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'imapd'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522964700957600331}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700967590966}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700967590966}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700967590966}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700967590966}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209897, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:41260'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700987617555}
