{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 211516, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '50.49.245.192:53734'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006661276651686}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006661276651686}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006661276651686}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006664016649913}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006664076652551}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006664076652551}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006664086652261}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006665096649497}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006665116654586}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006665126650986}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006665126650986}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006665126650986}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006666146651931}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006666146651931}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006666196649669}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006666206650679}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006667216649445}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006667226651784}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006667236651604}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523006667506649795}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1523006667506649795}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006667556653723}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006667556653723}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 50557, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'file': '/usr/local/libexec/imapd'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523006667676649569}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 198373, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523006667716651368}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198312, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'imapd'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1523006667716651368}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 211519, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:41743'}", 'edge_type': 'EVENT_WRITE', 'time': 1523006667716651368}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 198373, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523006667786651256}
