{'loss': 8.53182601928711, 'srcnode': 198297, 'dstnode': 50572, 'srcmsg': "{'subject': 'proxymap'}", 'dstmsg': "{'file': '/usr/local/libexec/postfix/proxymap'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021485176319723}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 198373, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523021485286318253}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198295, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'smtpd'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1523021485286318253}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021485286318253}
{'loss': 8.53182601928711, 'srcnode': 198313, 'dstnode': 50574, 'srcmsg': "{'subject': 'anvil'}", 'dstmsg': "{'file': '/usr/local/libexec/postfix/anvil'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021485296319094}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021485386320002}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021485486319011}
{'loss': 8.53182601928711, 'srcnode': 198296, 'dstnode': 50575, 'srcmsg': "{'subject': 'trivial-rewrite'}", 'dstmsg': "{'file': '/usr/local/libexec/postfix/trivial-rewrite'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021485596319961}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021485746318684}
{'loss': 8.53182601928711, 'srcnode': 198294, 'dstnode': 50576, 'srcmsg': "{'subject': 'cleanup'}", 'dstmsg': "{'file': '/usr/local/libexec/postfix/cleanup'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021485856320744}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021485956319814}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021485956319814}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486066319503}
{'loss': 8.53182601928711, 'srcnode': 198294, 'dstnode': 134093, 'srcmsg': "{'subject': 'cleanup'}", 'dstmsg': "{'file': '/var/spool/postfix/active/E9DFE29D0F'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486116318238}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486116318238}
{'loss': 8.53182601928711, 'srcnode': 198294, 'dstnode': 134093, 'srcmsg': "{'subject': 'cleanup'}", 'dstmsg': "{'file': '/var/spool/postfix/active/E9DFE29D0F'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486216317387}
{'loss': 8.53182601928711, 'srcnode': 198294, 'dstnode': 134093, 'srcmsg': "{'subject': 'cleanup'}", 'dstmsg': "{'file': '/var/spool/postfix/active/E9DFE29D0F'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486216317387}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486226318868}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486226318868}
{'loss': 8.53182601928711, 'srcnode': 198298, 'dstnode': 50580, 'srcmsg': "{'subject': 'local'}", 'dstmsg': "{'file': '/usr/local/libexec/postfix/local'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021486246321330}
{'loss': 8.53182601928711, 'srcnode': 198295, 'dstnode': 212126, 'srcmsg': "{'subject': 'smtpd'}", 'dstmsg': "{'netflow': '66.198.223.74:35651'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486336320068}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486336320068}
{'loss': 8.53182601928711, 'srcnode': 198298, 'dstnode': 50597, 'srcmsg': "{'subject': 'local'}", 'dstmsg': "{'file': '/var/mail/george'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486356324690}
{'loss': 8.53182601928711, 'srcnode': 198298, 'dstnode': 50597, 'srcmsg': "{'subject': 'local'}", 'dstmsg': "{'file': '/var/mail/george'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486356324690}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486356324690}
{'loss': 8.53182601928711, 'srcnode': 198298, 'dstnode': 212128, 'srcmsg': "{'subject': 'local'}", 'dstmsg': "{'netflow': '127.0.0.1:512'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523021486366326541}
{'loss': 8.53182601928711, 'srcnode': 198298, 'dstnode': 134093, 'srcmsg': "{'subject': 'local'}", 'dstmsg': "{'file': '/var/spool/postfix/active/E9DFE29D0F'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486366326541}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 89621, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021486366326541}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021489496318684}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021489556322709}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021489556322709}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021489556322709}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523021490576317212}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021490616322145}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021490616322145}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523021490616322145}
