{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027906146177496}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523027906156175147}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523027907176173805}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027907186175876}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523027907186175876}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523027907376175989}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1523027907376175989}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027907416175662}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523027907416175662}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911556177039}
{'loss': 8.53182601928711, 'srcnode': 198239, 'dstnode': 33, 'srcmsg': "{'subject': 'bash'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911556177039}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911556177039}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 135055, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'file': '/usr/local/bin/links'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1523027911556177039}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 33, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911626180623}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 33, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911626180623}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911626180623}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 33, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911646176475}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911646176475}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911646176475}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 33, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911656184155}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 198373, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198339, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'links'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198339, 'dstnode': 198373, 'srcmsg': "{'subject': 'links'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198339, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'links'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1523027911666176986}
{'loss': 8.53182601928711, 'srcnode': 198330, 'dstnode': 33, 'srcmsg': "{'subject': 'screen'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1523027911666176986}
