2025-07-24 16:38:38 - INFO - Start logging.
2025-07-25 09:32:49 - INFO - Start logging.
2025-07-25 09:37:16 - INFO - Time: 2018-04-03_00-00-00-002884014~2018-04-03_00-15-29-682868556, Loss: 0.7834, Nodes_count: 15488, Edges_count: 119808, Cost Time: 89.71s
2025-07-25 09:37:53 - INFO - Time: 2018-04-03_00-15-29-682868556~2018-04-03_00-30-39-652840273, Loss: 0.5281, Nodes_count: 15501, Edges_count: 16384, Cost Time: 127.22s
2025-07-25 09:38:41 - INFO - Time: 2018-04-03_00-30-39-652840273~2018-04-03_00-45-48-612820751, Loss: 0.8313, Nodes_count: 15501, Edges_count: 10240, Cost Time: 174.58s
2025-07-25 09:39:33 - INFO - Time: 2018-04-03_00-45-48-612820751~2018-04-03_01-00-57-722800088, Loss: 0.8426, Nodes_count: 15501, Edges_count: 10240, Cost Time: 226.70s
2025-07-25 09:40:20 - INFO - Time: 2018-04-03_01-00-57-722800088~2018-04-03_01-17-06-072775830, Loss: 0.8362, Nodes_count: 15515, Edges_count: 10240, Cost Time: 274.31s
2025-07-25 09:41:39 - INFO - Time: 2018-04-03_01-17-06-072775830~2018-04-03_01-32-16-902757103, Loss: 0.5311, Nodes_count: 15516, Edges_count: 16384, Cost Time: 352.46s
2025-07-25 09:42:30 - INFO - Time: 2018-04-03_01-32-16-902757103~2018-04-03_01-47-26-372745724, Loss: 0.8191, Nodes_count: 15516, Edges_count: 10240, Cost Time: 404.05s
2025-07-25 09:42:53 - INFO - Time: 2018-04-03_01-47-26-372745724~2018-04-03_02-02-35-472713620, Loss: 0.8371, Nodes_count: 15516, Edges_count: 10240, Cost Time: 427.35s
2025-07-25 09:43:02 - INFO - Time: 2018-04-03_02-02-35-472713620~2018-04-03_02-18-45-112693532, Loss: 0.8366, Nodes_count: 15516, Edges_count: 10240, Cost Time: 436.15s
2025-07-25 09:43:14 - INFO - Time: 2018-04-03_02-18-45-112693532~2018-04-03_02-33-53-962677579, Loss: 0.5374, Nodes_count: 15517, Edges_count: 16384, Cost Time: 448.00s
2025-07-25 09:43:22 - INFO - Time: 2018-04-03_02-33-53-962677579~2018-04-03_02-50-00-042652683, Loss: 0.8142, Nodes_count: 15517, Edges_count: 10240, Cost Time: 455.49s
2025-07-25 09:43:30 - INFO - Time: 2018-04-03_02-50-00-042652683~2018-04-03_03-06-13-172630178, Loss: 0.8481, Nodes_count: 15517, Edges_count: 11264, Cost Time: 463.61s
2025-07-25 09:43:42 - INFO - Time: 2018-04-03_03-06-13-172630178~2018-04-03_03-21-22-182610812, Loss: 0.5446, Nodes_count: 15536, Edges_count: 16384, Cost Time: 475.40s
2025-07-25 09:43:49 - INFO - Time: 2018-04-03_03-21-22-182610812~2018-04-03_03-36-31-322590462, Loss: 0.8256, Nodes_count: 15536, Edges_count: 10240, Cost Time: 482.99s
2025-07-25 09:43:56 - INFO - Time: 2018-04-03_03-36-31-322590462~2018-04-03_03-52-39-762567552, Loss: 0.8315, Nodes_count: 15536, Edges_count: 10240, Cost Time: 490.40s
2025-07-25 09:44:04 - INFO - Time: 2018-04-03_03-52-39-762567552~2018-04-03_04-07-48-932554472, Loss: 0.8356, Nodes_count: 15536, Edges_count: 10240, Cost Time: 497.71s
2025-07-25 09:44:16 - INFO - Time: 2018-04-03_04-07-48-932554472~2018-04-03_04-22-59-082526141, Loss: 0.5436, Nodes_count: 15537, Edges_count: 16384, Cost Time: 509.95s
2025-07-25 09:44:24 - INFO - Time: 2018-04-03_04-22-59-082526141~2018-04-03_04-38-08-082505692, Loss: 0.8075, Nodes_count: 15537, Edges_count: 10240, Cost Time: 517.94s
2025-07-25 09:44:31 - INFO - Time: 2018-04-03_04-38-08-082505692~2018-04-03_04-54-17-692484909, Loss: 0.8343, Nodes_count: 15537, Edges_count: 10240, Cost Time: 525.36s
2025-07-25 09:44:39 - INFO - Time: 2018-04-03_04-54-17-692484909~2018-04-03_05-09-26-152465960, Loss: 0.8429, Nodes_count: 15537, Edges_count: 10240, Cost Time: 532.83s
2025-07-25 09:44:51 - INFO - Time: 2018-04-03_05-09-26-152465960~2018-04-03_05-24-35-452450195, Loss: 0.5414, Nodes_count: 15538, Edges_count: 16384, Cost Time: 544.82s
2025-07-25 09:44:59 - INFO - Time: 2018-04-03_05-24-35-452450195~2018-04-03_05-40-00-062424044, Loss: 0.8133, Nodes_count: 15538, Edges_count: 10240, Cost Time: 552.78s
2025-07-25 09:45:06 - INFO - Time: 2018-04-03_05-40-00-062424044~2018-04-03_05-55-53-762405238, Loss: 0.8380, Nodes_count: 15538, Edges_count: 10240, Cost Time: 560.29s
2025-07-25 09:45:14 - INFO - Time: 2018-04-03_05-55-53-762405238~2018-04-03_06-11-03-082382573, Loss: 0.8380, Nodes_count: 15538, Edges_count: 10240, Cost Time: 567.84s
2025-07-25 09:45:26 - INFO - Time: 2018-04-03_06-11-03-082382573~2018-04-03_06-26-13-602362234, Loss: 0.5403, Nodes_count: 15539, Edges_count: 16384, Cost Time: 580.10s
2025-07-25 09:45:34 - INFO - Time: 2018-04-03_06-26-13-602362234~2018-04-03_06-42-20-762338399, Loss: 0.8102, Nodes_count: 15539, Edges_count: 10240, Cost Time: 587.67s
2025-07-25 09:45:41 - INFO - Time: 2018-04-03_06-42-20-762338399~2018-04-03_06-57-30-792322661, Loss: 0.8424, Nodes_count: 15539, Edges_count: 10240, Cost Time: 594.84s
2025-07-25 09:45:48 - INFO - Time: 2018-04-03_06-57-30-792322661~2018-04-03_07-12-40-092301147, Loss: 0.8400, Nodes_count: 15539, Edges_count: 10240, Cost Time: 602.32s
2025-07-25 09:46:00 - INFO - Time: 2018-04-03_07-12-40-092301147~2018-04-03_07-27-50-572278225, Loss: 0.5253, Nodes_count: 15540, Edges_count: 16384, Cost Time: 614.12s
2025-07-25 09:46:08 - INFO - Time: 2018-04-03_07-27-50-572278225~2018-04-03_07-44-00-032258285, Loss: 0.8379, Nodes_count: 15540, Edges_count: 10240, Cost Time: 621.80s
2025-07-25 09:46:15 - INFO - Time: 2018-04-03_07-44-00-032258285~2018-04-03_07-59-09-032235604, Loss: 0.8382, Nodes_count: 15540, Edges_count: 10240, Cost Time: 629.25s
2025-07-25 09:46:24 - INFO - Time: 2018-04-03_07-59-09-032235604~2018-04-03_08-14-17-872216333, Loss: 0.8565, Nodes_count: 15607, Edges_count: 11264, Cost Time: 637.44s
2025-07-25 09:46:38 - INFO - Time: 2018-04-03_08-14-17-872216333~2018-04-03_08-30-26-562195178, Loss: 0.7090, Nodes_count: 15652, Edges_count: 19456, Cost Time: 651.47s
2025-07-25 09:46:51 - INFO - Time: 2018-04-03_08-30-26-562195178~2018-04-03_08-46-20-122827975, Loss: 1.2643, Nodes_count: 15783, Edges_count: 18432, Cost Time: 665.14s
2025-07-25 09:47:06 - INFO - Time: 2018-04-03_08-46-20-122827975~2018-04-03_09-02-20-242151427, Loss: 1.1832, Nodes_count: 15784, Edges_count: 12288, Cost Time: 679.80s
2025-07-25 09:48:16 - INFO - Time: 2018-04-03_09-02-20-242151427~2018-04-03_09-18-27-802133558, Loss: 0.8342, Nodes_count: 15784, Edges_count: 10240, Cost Time: 749.81s
2025-07-25 09:49:59 - INFO - Time: 2018-04-03_09-18-27-802133558~2018-04-03_09-33-52-182119677, Loss: 0.5618, Nodes_count: 15787, Edges_count: 17408, Cost Time: 852.66s
2025-07-25 09:51:07 - INFO - Time: 2018-04-03_09-33-52-182119677~2018-04-03_09-50-41-822087266, Loss: 0.8693, Nodes_count: 15793, Edges_count: 12288, Cost Time: 920.61s
2025-07-25 09:52:18 - INFO - Time: 2018-04-03_09-50-41-822087266~2018-04-03_10-06-52-172070506, Loss: 0.8383, Nodes_count: 15793, Edges_count: 11264, Cost Time: 991.60s
2025-07-25 09:54:07 - INFO - Time: 2018-04-03_10-06-52-172070506~2018-04-03_10-22-56-882043909, Loss: 0.5665, Nodes_count: 15802, Edges_count: 17408, Cost Time: 1100.49s
2025-07-25 09:54:38 - INFO - Time: 2018-04-03_10-22-56-882043909~2018-04-03_10-38-04-262022171, Loss: 1.0320, Nodes_count: 15837, Edges_count: 16384, Cost Time: 1132.01s
2025-07-25 09:55:08 - INFO - Time: 2018-04-03_10-38-04-262022171~2018-04-03_10-53-09-112001488, Loss: 1.0164, Nodes_count: 15872, Edges_count: 17408, Cost Time: 1161.81s
2025-07-25 09:55:29 - INFO - Time: 2018-04-03_10-53-09-112001488~2018-04-03_11-08-22-471986912, Loss: 1.1809, Nodes_count: 15934, Edges_count: 27648, Cost Time: 1182.48s
2025-07-25 09:55:42 - INFO - Time: 2018-04-03_11-08-22-471986912~2018-04-03_11-23-30-151962725, Loss: 0.6161, Nodes_count: 15935, Edges_count: 18432, Cost Time: 1195.92s
2025-07-25 09:55:53 - INFO - Time: 2018-04-03_11-23-30-151962725~2018-04-03_11-38-36-571944378, Loss: 1.0366, Nodes_count: 15939, Edges_count: 14336, Cost Time: 1206.51s
2025-07-25 09:56:06 - INFO - Time: 2018-04-03_11-38-36-571944378~2018-04-03_11-54-33-731921062, Loss: 1.0520, Nodes_count: 15963, Edges_count: 18432, Cost Time: 1219.80s
2025-07-25 09:56:19 - INFO - Time: 2018-04-03_11-54-33-731921062~2018-04-03_12-10-52-921898290, Loss: 1.0302, Nodes_count: 15974, Edges_count: 17408, Cost Time: 1232.47s
2025-07-25 09:56:34 - INFO - Time: 2018-04-03_12-10-52-921898290~2018-04-03_12-26-01-481877955, Loss: 0.6782, Nodes_count: 15986, Edges_count: 20480, Cost Time: 1247.47s
2025-07-25 09:56:42 - INFO - Time: 2018-04-03_12-26-01-481877955~2018-04-03_12-42-05-851859667, Loss: 0.8643, Nodes_count: 15988, Edges_count: 11264, Cost Time: 1255.74s
2025-07-25 09:56:51 - INFO - Time: 2018-04-03_12-42-05-851859667~2018-04-03_12-57-16-391837675, Loss: 0.9134, Nodes_count: 15990, Edges_count: 12288, Cost Time: 1264.66s
